EXPOCODE 316N200310 (316N173_2)  WHP-ID A22      CRUISE DATES 102303 TO 111503    20050523SIOWHPOSA                                                                                                            
  STNNBR  CASTNO  SAMPNO  BTLNBR  CTDRAW  CTDPRS  CTDTMP  CTDSAL  CTDOXY   THETA  SALNTY  OXYGEN  SILCAT  NITRAT  NITRIT  PHSPHT  CFC-11  CFC-12  CFC113    TCO2  ALKALI    CCL4          QUALT1
                                            DBAR  ITS-90  PSS-78 UMOL/KG   DEG C  PSS-78 UMOL/KG UMOL/KG UMOL/KG UMOL/KG UMOL/KG PMOL/KG PMOL/KG PMOL/KG UMOL/KG UMOL/KG PMOL/KG                               
                         *******                         ******* *******         ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* *******                               
       4       1      17      17     2.3     2.3 29.1367 36.5738   192.4 29.1361 36.5678   192.9    0.78    0.16    0.00    0.02   1.607   1.012   0.128  2037.1  2388.3  -9.000 222222222222269
       4       1      16      16    25.2    25.2 29.1066 36.5651   193.6 29.1005 36.5612   193.0    0.78    0.16    0.00    0.02   1.604   1.003   0.136  2036.4  2392.0  -9.000 222222222222229
       4       1      15      15    50.3    50.3 26.3443 36.6399   197.9 26.3329 36.6372   197.6    0.89    0.10    0.00    0.02   1.837   1.121   0.127  2056.8  2392.0  -9.000 222222222666229
       4       1      14      14    75.4    75.4 23.1026 36.9990   161.5 23.0870 36.9868   158.9    1.30    3.73    0.19    0.20   2.012   1.221   0.057  2123.9  2408.5  -9.000 222222222222229
       4       1      13      13   100.2   100.2 21.1973 36.8613   143.6 21.1778 36.8462   142.4    2.22    7.03    0.05    0.36   2.086   1.224   0.048  2144.7  2398.0  -9.000 222222222222229
       4       1      12      12   125.5   125.5 19.5735 36.6787   143.0 19.5505 36.6671   145.4    2.52    8.51    0.02    0.43   2.181   1.270   0.021  2148.0  2388.1  -9.000 222222222222229
       4       1      11      11   150.6   150.6 18.6208 36.5496   143.9 18.5941 36.5385   145.7    2.83    9.77    0.02    0.50   2.201   1.284   0.019  2149.2  2380.4  -9.000 222222222222229
       4       1      10      10   175.6   175.6 17.9157 36.4403   144.1 17.8854 36.4315   146.2    3.24   10.88    0.02    0.57   2.194   1.251   0.016  2150.5  2374.3  -9.000 222222222222229
       4       1       9       9   225.4   225.4 16.4109 36.1891   142.1 16.3742 36.1820   141.8    4.56   13.86    0.01    0.75   2.100   1.158   0.017  2157.4  2361.8  -9.000 222222222222229
       4       1       8       8   276.3   276.3 14.7179 35.8927   136.2 14.6762 35.8919   135.3    6.19   16.65    0.01    0.99   1.942   1.061   0.023  2167.1  2346.2  -9.000 222222222222229
       4       1       7       7   351.1   351.1 11.3991 35.3301   121.8 11.3544 35.3260   122.4   10.98   23.35    0.01    1.49   1.403   0.744   0.020  2188.1  2328.1   0.292 222222222222222
       4       1       6       6   451.1   451.1  9.4825 35.0461   117.9  9.4311 35.0417   119.0   14.77   27.15    0.01    1.77   0.950   0.499   0.014  2200.2  2316.6  -9.000 222222222222229
       4       1       5       5   550.8   550.8  8.0949 34.8717   119.0  8.0376 34.8729   120.6   18.24   29.75    0.00    1.96   0.614   0.320   0.010  2207.4  2312.4  -9.000 222222222222229
       4       1       4       4   675.9   675.9  6.9425 34.7668   124.1  6.8775 34.7663   125.3   21.71   31.40    0.00    2.10   0.352   0.171   0.011  2212.5  2309.6  -9.000 222222222222229
       4       1       3       3   825.5   825.5  6.0799 34.7817   137.3  6.0050 34.7797   138.4   24.27   30.87    0.00    2.08   0.151   0.085   0.003  2213.9  2314.0  -9.000 222222222222229
       4       1       2       2   974.9   974.9  5.2176 34.9054   173.3  5.1343 34.9044   173.0   25.09   26.41    0.00    1.81   0.061   0.041   0.003  2204.0  2325.3  -9.000 222222222222229
       4       1       1       1   995.5   995.5  5.1457 34.9133   176.3  5.0611 34.9109   175.8   25.09   26.13    0.00    1.79   0.056   0.040   0.002  2203.8  2329.4  -9.000 222222222222269
       5       1      15      15     2.4     2.4 28.9173 36.5498   193.5 28.9167 36.5476   193.7    0.59   -0.01    0.00    0.03   1.541   0.912   0.092  2036.9  2396.5   1.536 222222222222262
       5       1      14      14    25.3    25.3 28.9144 36.5506   194.6 28.9082 36.5575   193.8    0.47   -0.01    0.00    0.02   1.543   0.943   0.098    -9.0    -9.0   1.523 222222222222992
       5       1      13      13    50.5    50.5 25.9492 36.6994   194.8 25.9379 36.7066   193.7    0.56   -0.01    0.00    0.02   1.753   1.072   0.080    -9.0    -9.0   0.643 222222222222992
       5       1      12      12    75.5    75.5 23.5449 36.9596   165.4 23.5291 36.9548   164.1    0.94    2.30    0.12    0.18   1.880   1.126   0.058    -9.0    -9.0   0.238 222222222222992
       5       1      11      11   100.1   100.1 21.4871 36.8777   145.1 21.4674 36.8699   145.1    1.73    5.54    0.06    0.33   1.967   1.178   0.034    -9.0    -9.0   0.179 222222222222992
       5       1      10      10   125.4   125.4 20.2482 36.7627   142.1 20.2247 36.7524   143.1    2.02    6.95    0.02    0.41   2.024   1.176   0.029    -9.0    -9.0   0.185 222222222222992
       5       1       9       9   150.3   150.3 18.8208 36.5820   147.5 18.7939 36.5727   149.0    2.20    8.16    0.01    0.47   2.075   1.185   0.013    -9.0    -9.0   0.219 222222222222992
       5       1       8       8   175.7   175.7 18.2593 36.4951   145.4 18.2286 36.4877   146.7    2.79    9.15    0.01    0.53   2.061   1.164   0.009    -9.0    -9.0   0.224 222222222222992
       5       1       7       7   225.2   225.2 16.7209 36.2444   143.8 16.6838 36.2481   144.5    3.68   11.78    0.01    0.69   2.007   1.107   0.012    -9.0    -9.0   0.259 222222222222992
       5       1       6       6   276.2   276.2 14.0589 35.7727   131.4 14.0185 35.7705   131.3    6.79   17.90    0.01    1.08   1.744   0.950   0.017    -9.0    -9.0   0.254 222222222222992
       5       1       5       5   350.9   350.9 11.2215 35.2995   122.3 11.1772 35.2919   121.4   11.01   23.98    0.00    1.50   1.290   0.677   0.008    -9.0    -9.0   0.299 222222222222992
       5       1       4       4   451.0   451.0  9.4771 35.0419   117.3  9.4257 35.0388   118.8   14.33   27.79    0.00    1.76   0.898   0.483   0.008    -9.0    -9.0   0.305 222222222222992
       5       1       3       3   550.5   550.5  8.0006 34.8630   118.9  7.9437 34.8591   120.7   18.15   30.66    0.00    1.96   0.554   0.302   0.009    -9.0    -9.0   0.294 222222222222992
       5       1       2       2   675.6   675.6  6.9314 34.7765   123.6  6.8666 34.7742   125.6   21.38   32.19    0.00    2.09   0.298   0.177   0.006    -9.0    -9.0   0.218 222222222666996
       5       1       1       1   758.5   758.5  6.2491 34.7714   133.3  6.1797 34.7712   134.2   23.59   31.93    0.00    2.09   0.008   0.104   0.002    -9.0    -9.0   0.158 222222222222992
       6       1      18      18     3.4     3.4 28.8997 36.6016   194.6 28.8989 36.6039   193.8    0.54    0.11    0.00    0.03   1.598   1.018   0.139  2040.1  2399.6  -9.000 222922222222229
       6       1      17      17    25.6    25.6 28.9065 36.6006   195.2 28.9003 36.5997   193.7    0.42    0.06    0.00    0.02   1.605   1.004   0.130  2041.4  2388.1  -9.000 222222222222269
       6       1      16      16    50.5    50.5 27.0134 36.5971   202.1 27.0018 36.5981   200.2    0.50    0.01    0.00    0.02   1.788   1.103   0.123  2050.3  2401.6  -9.000 222222222222229
       6       1      15      15    75.3    75.3 23.9524 36.9010   170.8 23.9365 36.8919   170.8    0.89    0.94    0.21    0.11   1.939   1.192   0.083  2106.1  2416.0  -9.000 222222222222239
       6       1      14      14   100.1   100.1 21.5490 36.9288   151.2 21.5293 36.9258   153.8    1.27    4.60    0.04    0.26   2.079   1.234   0.057  2138.0  2415.8  -9.000 222222222222229
